iter	Logloss
0	0.6481807066
1	0.6085595041
2	0.5751839478
3	0.5463675604
4	0.5207962149
5	0.4984544345
6	0.4760625353
7	0.4566617401
8	0.4403701092
9	0.4256212771
10	0.4123872426
11	0.4009180147
12	0.3918548783
13	0.3839750926
14	0.3763415627
15	0.3689413407
16	0.3624632466
17	0.3567428205
18	0.3521649853
19	0.3477038657
20	0.3439329545
21	0.3407215246
22	0.3372329756
23	0.3344201165
24	0.3315040226
25	0.3291242283
26	0.3274657896
27	0.3257737111
28	0.3237035985
29	0.3219360195
30	0.3206993508
31	0.3195071599
32	0.3182273806
33	0.3173872357
34	0.3164375491
35	0.3157966472
36	0.3148218198
37	0.3138860579
38	0.3129610728
39	0.312057236
40	0.3113978857
41	0.310580205
42	0.3099947133
43	0.3096313286
44	0.3090912435
45	0.3086124134
46	0.3082007829
47	0.3078076108
48	0.3074918653
49	0.3071398287
50	0.3068265467
51	0.3064309786
52	0.306163946
53	0.3058580586
54	0.3055786187
55	0.305323179
56	0.3050745503
57	0.3048457201
58	0.3046244442
59	0.3044920837
60	0.3043310538
61	0.3041599114
62	0.3039685437
63	0.3037743849
64	0.3036159192
65	0.3034279411
66	0.303317887
67	0.3031687399
68	0.3030178864
69	0.3028892485
70	0.3027607516
71	0.3026204173
72	0.3024500378
73	0.3022989399
74	0.3022172949
75	0.3020880139
76	0.3019658626
77	0.3018875215
78	0.3017777706
79	0.3017133822
80	0.3016012149
81	0.3015219987
82	0.301432168
83	0.301337229
84	0.3012634217
85	0.3012131617
86	0.3011176683
87	0.3010461517
88	0.3009458207
89	0.3008678807
90	0.300777888
91	0.3007039162
92	0.3006184217
93	0.3005745196
94	0.3005025275
95	0.3004661786
96	0.3003384398
97	0.300259245
98	0.3001748169
99	0.3001322049
100	0.3000777326
101	0.2999752959
102	0.2999083143
103	0.2997990321
104	0.2997525834
105	0.299641356
106	0.2995818519
107	0.2994530857
108	0.2994056782
109	0.2993458593
110	0.2993063206
111	0.299224942
112	0.2991735978
113	0.2991545745
114	0.2990676923
115	0.2990034914
116	0.2989436416
117	0.2988482502
118	0.29876552
119	0.298698177
120	0.2986532399
121	0.2986235588
122	0.2985630175
123	0.2985535619
124	0.2984630153
125	0.2984065119
126	0.2983515904
127	0.2983117244
128	0.2982092273
129	0.2981485585
130	0.2980650803
131	0.2980151483
132	0.2979556743
133	0.2978983112
134	0.2978350819
135	0.2978040397
136	0.2977024931
137	0.2976511796
138	0.2975927154
139	0.2975427092
140	0.2975124009
141	0.2974750813
142	0.2973983451
143	0.297361361
144	0.2972793671
145	0.2972256375
146	0.297198182
147	0.2971338306
148	0.297088648
149	0.2970347927
150	0.2969875155
151	0.2969532698
152	0.2969237003
153	0.2968841719
154	0.2968170103
155	0.2967712948
156	0.2967703788
157	0.2967108821
158	0.2966563447
159	0.2966524849
160	0.2966398346
161	0.2965909972
162	0.2965396845
163	0.2964872072
164	0.2964659618
165	0.2964368695
166	0.2963692585
167	0.2963253276
168	0.2962384296
169	0.2961801231
170	0.2961735188
171	0.2961687807
172	0.2961210956
173	0.2960703299
174	0.2960386808
175	0.296008653
176	0.2959736575
177	0.295906199
178	0.2958795315
179	0.2958572738
180	0.2958355546
181	0.2958009158
182	0.2957331694
183	0.2956905602
184	0.2956461781
185	0.2956157199
186	0.2955648777
187	0.2955238113
188	0.2954777839
189	0.2954262653
190	0.2954061136
191	0.2953847685
192	0.2953394738
193	0.2952986414
194	0.2952562637
195	0.2951829673
196	0.2951708915
197	0.295127528
198	0.2950499687
199	0.2949917259
200	0.2949545588
201	0.2949394351
202	0.2948898654
203	0.294853064
204	0.294788281
205	0.294736788
206	0.2947165543
207	0.29467425
208	0.2946492063
209	0.294615205
210	0.2945794107
211	0.2945335404
212	0.2945021333
213	0.2944614179
214	0.2944500539
215	0.294398346
216	0.2943453476
217	0.2942651724
218	0.2941991546
219	0.2941690211
220	0.2940975585
221	0.2940433984
222	0.2939623656
223	0.2939140966
224	0.2938431734
225	0.2937878431
226	0.2937512356
227	0.293709766
228	0.2936359073
229	0.2935919218
230	0.2935349466
231	0.2935302866
232	0.2934909809
233	0.2933815251
234	0.293345229
235	0.2933022409
236	0.2932305662
237	0.2931747839
238	0.2931294116
239	0.29309259
240	0.2930612269
241	0.2930009347
242	0.2929653841
243	0.2929266602
244	0.2929232983
245	0.2928605967
246	0.2928152986
247	0.2927932529
248	0.2927618493
249	0.2927122364
250	0.2926570349
251	0.2925963599
252	0.2925558937
253	0.2925024224
254	0.2924452686
255	0.2923792968
256	0.2923420552
257	0.2922833275
258	0.2922355187
259	0.2921857397
260	0.2921388924
261	0.2920749351
262	0.2920069539
263	0.2919768885
264	0.2919023414
265	0.2918232259
266	0.2917654668
267	0.2917252211
268	0.2916844612
269	0.2916388328
270	0.2916033533
271	0.2915593373
