playerId,x,y,shootedBy,distance,angle,passes_before,shots_before,shots_by_team_before,isGoal
420372,80.9,70.8,RightFoot,25.01919,57.07259878427652,18,2,15,False
404270,87.9,56.9,RightFoot,14.24672,73.35942119654631,26,1,16,False
245626,76.2,62.7,RightFoot,26.48822,72.05821499676928,46,1,17,False
420372,91.7,62.4,RightFoot,12.48552,49.189912269365394,21,3,18,False
420370,93.5,39.3,LeftFoot,10.4868,44.497649230963184,32,1,19,True
371088,95.8,47.2,RightFoot,5.63242,68.76456918740065,31,6,0,True
378535,72.5,44.3,RightFoot,29.68175,82.1002237601504,0,0,7,False
371088,89.8,66.2,LeftFoot,15.86748,46.710631338536956,34,0,0,False
420372,88.3,69.5,LeftFoot,18.04678,44.28196722969475,29,4,1,False
322266,86.6,44.9,LeftFoot,15.2557,74.48704414290268,15,2,8,False
418212,78.1,59.3,LeftFoot,23.89695,75.16115923864267,21,1,9,False
371088,73.9,33.0,LeftFoot,30.61627,67.81659761127499,35,1,2,True
442348,91.9,44.5,LeftFoot,10.29315,66.64843112886739,1,0,10,False
28364,72.6,36.4,RightFoot,30.90292,72.05821499676928,34,0,11,False
28364,72.7,63.7,RightFoot,30.70025,73.26564121021524,36,1,12,False
442349,72.3,31.7,RightFoot,32.11365,66.27683374672863,1,0,0,False
303681,90.7,59.0,Head,12.15337,59.76416218127909,1,0,13,False
442347,76.4,48.9,RightFoot,25.23667,86.91415489611524,7,0,14,False
378535,95.8,44.0,RightFoot,6.64898,52.14721285232155,12,1,15,True
143744,79.1,43.5,LeftFoot,22.55793,77.81739297656284,5,0,1,True
442347,66.3,72.6,RightFoot,38.70777,67.26467669521429,7,1,0,False
433918,90.9,68.1,RightFoot,16.12661,40.62458858863726,41,0,0,False
132609,71.1,66.0,RightFoot,32.33538,70.33733457683725,3,0,0,False
146645,93.0,50.9,LeftFoot,7.35,90.0,0,0,0,False
326581,90.2,46.6,Head,10.84658,75.4776732562577,4,0,1,False
400304,87.7,47.6,RightFoot,13.8016,81.50160364686809,1,0,1,False
370985,73.9,51.3,RightFoot,28.35815,88.62010155513927,15,0,2,False
300546,94.5,41.0,Head,8.78319,45.83036639742087,9,0,2,False
400304,92.8,52.7,Head,8.50938,80.80492341954267,5,1,3,False
425491,85.1,51.0,RightFoot,15.76467,87.52877227296267,22,0,4,False
363308,80.4,33.1,LeftFoot,23.97152,61.16829924168067,15,0,3,False
326581,91.0,58.8,RightFoot,10.90395,60.072799495213054,7,1,4,False
132557,91.6,48.5,Head,9.54736,81.80955386140502,16,0,5,True
132609,77.8,33.6,RightFoot,26.77417,64.42088938778848,19,1,5,False
83333,88.3,43.6,RightFoot,13.46914,69.30420982864486,26,0,6,False
367688,75.7,59.7,RightFoot,26.95398,76.8757622091141,16,0,0,False
360664,92.7,65.5,LeftFoot,13.21363,39.472663752386076,0,0,1,False
330714,82.1,63.4,RightFoot,20.86518,64.9339506973549,3,0,7,False
364066,82.0,71.4,RightFoot,23.68815,52.92718102906593,58,0,8,False
330714,89.9,46.1,Head,11.86596,76.74768575780679,8,1,9,False
330714,89.5,54.2,RightFoot,11.86596,76.74768575780679,8,2,10,False
280203,79.7,61.5,LeftFoot,23.28418,71.26067469697907,4,0,2,False
146645,92.8,60.6,LeftFoot,10.8074,51.00947304128363,13,1,3,False
360664,94.8,52.4,LeftFoot,6.44512,77.81739297656284,1,1,4,False
360664,96.5,57.4,LeftFoot,6.34804,41.423540533856645,1,2,5,False
33064,93.7,34.5,RightFoot,13.13,34.041276088207766,2,0,11,False
381697,56.5,70.8,LeftFoot,48.16015,73.59716437372997,5,0,6,False
33064,76.7,40.5,LeftFoot,26.10134,74.8994213710316,4,1,12,True
280203,77.0,40.6,RightFoot,25.08909,74.27424252960674,11,1,7,False
283673,85.2,65.2,LeftFoot,18.76439,57.07259878427652,49,0,8,False
280203,93.0,52.4,RightFoot,7.47476,79.51733549328307,14,2,9,False
381697,76.4,53.7,RightFoot,25.28244,85.37230759735763,15,1,10,False
410990,91.7,61.8,LeftFoot,12.05209,51.637515720504474,1,0,0,False
410990,91.7,60.0,RightFoot,11.64227,54.26236009878722,1,1,1,False
397619,77.0,75.6,LeftFoot,29.53341,54.85720400693162,0,0,2,False
442504,80.7,67.0,RightFoot,23.97152,61.16829924168067,9,0,3,False
393126,81.8,52.4,LeftFoot,19.9963,86.0963971894042,9,0,0,False
393126,82.6,33.4,RightFoot,22.15499,58.548264365837795,9,1,1,False
420369,87.2,48.1,RightFoot,13.71758,84.30833049756316,9,0,2,False
120906,86.2,66.1,LeftFoot,18.28837,53.493560199176414,17,0,3,False
38498,93.1,69.1,LeftFoot,14.86435,29.634807609562287,20,0,4,False
120906,84.3,60.0,LeftFoot,18.12402,67.96425971844621,23,1,5,False
397761,80.2,84.5,RightFoot,31.23355,42.24869905220543,7,0,4,False
84625,90.5,32.0,RightFoot,16.12661,40.62458858863726,28,0,6,True
420369,96.5,48.6,RightFoot,4.4147,72.05821499676928,15,1,0,True
397761,84.5,34.9,RightFoot,20.01535,57.07259878427652,13,1,5,False
397761,90.3,30.4,RightFoot,17.18168,37.6705303871778,21,2,6,False
353900,88.7,56.9,RightFoot,13.24411,72.05821499676928,0,0,7,False
30465,68.6,47.2,RightFoot,33.66187,86.52373275720753,8,0,0,False
420369,91.0,41.0,RightFoot,11.25864,57.07259878427652,27,0,1,False
70685,86.7,61.1,RightFoot,16.49365,63.0307440055496,37,0,2,False
433457,88.2,73.8,RightFoot,20.08406,38.85561558603039,35,0,3,False
353900,92.4,44.6,Head,9.33844,64.093733486694,2,1,8,False
442504,79.6,74.7,LeftFoot,27.43255,53.493560199176414,55,1,9,False
442504,86.8,82.7,RightFoot,26.26,34.041276088207766,56,2,10,False
280268,90.6,45.7,RightFoot,11.03676,72.05821499676928,7,0,4,True
389162,95.7,46.8,RightFoot,5.91277,62.61178207397876,8,0,0,False
380714,54.9,32.5,RightFoot,49.82678,75.78007874305989,6,0,0,False
244050,76.3,50.7,LeftFoot,25.2,90.0,32,0,1,False
125095,86.1,47.9,Head,14.84088,82.1002237601504,22,0,2,False
231150,80.5,50.0,RightFoot,21.0,90.0,16,0,3,False
360939,86.2,70.2,LeftFoot,20.02623,47.226159489072444,31,0,4,False
143799,77.6,61.1,Head,25.28187,72.79063192935094,30,0,5,False
143799,80.4,85.4,RightFoot,31.7402,41.423540533856645,32,1,6,False
278156,88.5,47.5,RightFoot,12.76407,80.80492341954267,12,0,7,False
363535,86.8,44.9,LeftFoot,15.2557,74.48704414290268,11,0,8,False
363535,86.9,44.9,RightFoot,15.2557,74.48704414290268,11,1,9,False
278156,87.3,45.1,Head,14.06707,76.01285975222743,12,1,10,False
389162,68.2,69.0,LeftFoot,35.99842,68.96638275330459,38,1,11,False
360939,89.2,69.9,LeftFoot,17.33,41.79519884266491,50,1,12,False
363535,85.6,68.5,RightFoot,19.94693,52.14814657353456,14,2,13,True
141875,85.1,30.7,RightFoot,20.80919,49.189912269365394,8,0,0,False
231150,86.2,44.2,RightFoot,15.2557,74.48704414290268,28,1,1,False
141875,90.2,61.4,RightFoot,12.89187,54.53499035328494,9,1,2,False
363535,86.7,51.3,RightFoot,14.71572,87.34925316656759,18,0,3,False
360939,86.5,63.6,LeftFoot,17.1533,58.97916990046968,64,2,4,False
129944,92.9,52.8,Head,8.50938,80.80492341954267,5,0,1,True
363535,85.8,55.5,Head,16.11281,77.81739297656284,24,1,5,False
423855,83.1,38.4,RightFoot,19.62672,65.43221190696774,35,0,6,False
423855,89.7,35.8,RightFoot,15.40917,48.551412527034174,36,1,7,False
360939,91.6,65.5,LeftFoot,13.90477,42.813955635454995,74,3,8,False
141875,87.1,30.9,RightFoot,19.26869,45.104883596452815,18,2,9,False
423855,78.6,30.1,RightFoot,26.80616,59.512514948807734,38,2,10,False
418196,87.0,49.3,Head,13.66693,87.14639826669965,4,0,11,False
389162,89.0,42.8,LeftFoot,12.76699,64.78021886852656,82,2,12,False
363535,93.0,36.1,RightFoot,12.02717,37.6705303871778,30,2,13,False
363535,87.4,74.8,RightFoot,21.27592,39.90899031391669,32,3,14,False
423855,90.0,57.9,RightFoot,11.52856,65.61336526183658,42,3,15,False
75477,82.6,27.5,RightFoot,24.53201,50.39161947874507,3,0,0,False
442560,92.9,39.7,Head,11.24768,48.315662222968314,1,0,0,False
136904,81.6,51.0,LeftFoot,19.96159,88.04848173593538,1,0,1,False
111934,92.6,43.4,Head,9.65493,60.46096371160509,4,0,1,False
442558,96.3,51.8,RightFoot,4.25469,80.80492341954267,1,0,2,True
