player_id,player_name
124454,Brian Idowu
28498,Denis Glushakov
243786,Aleksandr Zuev
243160,Ilya Lantratov
129274,Aleksey Nikitin
397407,Dmitri Tikhiy
395812,Artur Cherny
397409,Kirill Bozhenov
345977,Alexander Lomovitskiy
375411,Aleksandr Rudenko
121215,Vitali Gudiev
143746,Egor Danilkin
433442,Artem Yuran
136856,Denis Davydov
378532,Aleksandr Dolgov
403799,Ilya Kamyshev
122318,Reziuan Mirzov
442249,Daniil Kamlashev
129191,Anton Mitryushkin
298728,Nemanja Glavcic
300725,Aleksandr Filin
442247,Mory Gbane
442248,Irakli Chezhia
115097,Douglas Santos
337783,Rodrigão
337841,Wendel
146780,Malcom
295768,Claudinho
126539,Wílmar Barrios
322162,Mateo Cassierra
29106,Dejan Lovren
364703,Nuraly Alip
396285,Daniil Odoevskiy
143437,Daler Kuzyaev
360679,Aleksey Sutormin
378531,Dmitri Chistyakov
420368,Ivan Sergeev
42226,Aleksandr Erokhin
411439,David Byazrov
411438,Kirill Kravtsov
360818,Danil Krugovoy
19278,Mikhail Kerzhakov
379203,Andrey Mostovoy
342005,Arsen Adamov
296053,Zelimkhan Bakaev
362566,Adolfo Gaich
371036,Jorge Carrascal
353176,Bakhtiyor Zaynutdinov
303796,Jesús Medina
442315,Nikita Ermakov
10112,Igor Akinfeev
362031,Igor Diveev
38969,Kirill Nababkin
321274,Ivan Oblyakov
384360,Maksim Mukhin
334489,Konstantin Kuchaev
298702,Fedor Chalov
425490,Eduard Bagrintsev
82395,Anton Zabolotny
383592,Maksim Eleev
436138,Egor Ushakov
425489,Dmitri Kaptilovich
411005,Danila Bokov
381895,Vladislav Torop
42012,Georgi Shchennikov
411004,Vladislav Yakovlev
291951,Milan Gajic
436137,Matvey Vladislavovich
117650,Danijel Miskic
442317,Luka Tsulukidze
252586,Eric Bicfalvi
285693,Igor Konovalov
353950,Mingiyan Beveev
115024,Aleksey Evseev
423425,Dmitri Landakov
438044,Ilya Bykovskiy
442316,Aleksey Kashtanov
433446,Aleksandr Yushin
357045,Artem Mamin
122167,Vyacheslav Podberezkin
32039,Oleg Shatov
427263,Fanil Sungatulin
420326,Yuri Zheleznov
140548,Aleksey Gerasimov
407323,Ivan Kuzmichev
111793,Ilya Pomazun
353948,Andrey Egorychev
90454,Roman Emeljanov
411097,Ramazan Gadzhimuradov
329020,Leo Goglichidze
303681,Brian Mansilla
298765,Aleksandr Pavlovets
28364,Mikhail Sivakov
376897,Kirill Pechenin
346517,Yuri Kovalev
418212,Ivan Basic
271402,Evgeni Goshev
402806,Stepan Oganesyan
248219,Vladimir Poluyakhtov
322266,Dmitri Vorobjev
381744,Nikolay Titkov
373706,Aleksey Kenyaykin
344712,Kirill Kaplenko
248222,Andrey Malykh
410989,Danila Khotulev
442347,Aleksandr Ektov
378535,Timur Ayupov
442348,Vladimir Pisarskiy
442344,Timur Nikolaev
442345,Nikolay Sysuev
442346,Semen Yurin
245626,Glenn Bijl
420366,Yuri Gorshkov
428464,Vladislav Shitov
435968,Vladislav Teplyakov
56257,Evgeni Frolov
362589,Danil Lipovoy
420372,Sergey Pinyaev
433918,Aleksandr Kovalenko
420370,Roman Ezhov
371088,Maksim Glushenkov
420373,Dmitri Tsypchenko
364278,Roman Evgenjev
143744,Denis Yakuba
420371,Maksim Vityugov
412311,Ivan Lomaev
420367,Aleksandr Soldatenkov
364172,Ilya Gaponov
404270,Dmytro Ivanisenya
370986,Bogdan Ovsyannikov
419969,Artem Sokolov
442349,Vladimir Khubulov
363308,Darko Todorovic
326581,Mohamed Konaté
343973,Zoran Nizic
398088,Marat Bystrov
93690,Khalid Kadyrov
312986,Georgi Shelia
300546,Yuri Zhuravlev
442382,Ivan Oleynikov
280203,Vladimir Iljin
341226,Mikhail Oparin
