player_id,player_name
360939,Nayair Tiknizyan
404100,Mark Mampassi
418196,Marko Rakonjac
389162,Lucas Fasson
395174,Milson
281089,Ákos Kecskés
442519,Mamadou Maiga
420559,Kirill Gotsuk
422934,Daniil Kornyushin
75843,Artur Nigmatullin
433445,Viktor Aleksandrov
380714,Timur Suleymanov
420562,Ilya Berkovskiy
442520,David Kobesov
355135,Nikita Kakkoev
420561,Igor Gorbunov
129944,Vyacheslav Krotov
285421,Albert Sharipov
395551,Konstantin Shiltsov
335639,Nikita Goylo
371492,Ilya Agapov
420560,Artur Anisimov
271111,Dmitri Stotskiy
420563,Daniil Penchikov
341272,Nikolay Kalinskiy
423853,Ibrokhimkhalil Yuldoshev
400822,Eduard Spertsyan
136904,Jhon Córdoba
117710,Cristian Ramírez
436116,Olakunle Olusegun
30083,Aleksey Ionov
373494,Sergey Borodin
425996,Vyacheslav Yakimov
395836,Stanislav Agkatsev
341315,Magomed-Shapi Suleymanov
425425,Irakli Manelov
243757,Ilzat Akhmetov
433993,Dmitri Pivovarov
434689,Vladislav Samko
369860,Aleksandr Chernikov
329019,Matvey Safonov
75477,Sergey Petrov
243195,Egor Sorokin
434309,Oleg Isaenko
404601,Vyacheslav Litvinov
422935,Nikita Krivtsov
103207,Irakli Kvekveskiri
371592,Aleksey Gorodovoy
442558,Aslan Dashaev
111934,Sergey Bozhin
442557,Vasili Cherov
442556,Ruslan Magal
370998,Roman Akbashev
341224,Ilnur Alshin
442559,Oleg Dmitriev
442560,Maksim Maksimov
121877,Khyzyr Appaev
442565,Daniil Chernyakov
236300,Alikhan Shavaev
442566,Evgeni Morozov
393113,Evgeni Shlyakov
442561,Andrey Mendel
120660,Mikhail Smirnov
433471,Ilya Svinov
76773,Sergey Bryzgalov
442562,Vladislav Masternoy
442563,Georgi Gongadze
130991,Kirill Suslov
442564,Matvey Ivakhnov
331383,Nikola Moro
420324,Luka Gagnidze
442550,Ruslan Shagiakhmetov
419901,Yaroslav Gladyshev
254686,Igor Leshchuk
442548,Dmitri Begun
395726,Vladislav Karapuzov
433444,Georgi Sulakvelidze
410988,Saba Sazonov
433443,Denis Osokin
393115,Denis Makarov
354056,Vyacheslav Grulev
38190,Fedor Smolov
442549,Ivan Zazvonkin
411081,Ivan Budachev
404327,Konstantin Tyukavin
35890,Sergey Parshivlyuk
405809,Aleksandr Kutitskiy
326350,Dmitri Skopintsev
400185,Arsen Zakharyan
322649,Daniil Fomin
30202,Anton Shunin
145385,Guillermo Varela
128035,Aleksandr Selyava
40481,Sergey Pesjakov
407265,Andrey Langovich
410991,Aleksandr Mukhin
419900,Aleksandr Djachkov
419899,Viktor Melekhin
426053,Kirill Shchetinin
442551,Mikhail Tsulaia
425938,Stepan Melnikov
107643,Denis Terentjev
329279,Egor Golenkov
438832,Artem Ntumba
328541,Evgeni Chernov
378567,Maksim Osipenko
379242,Danila Prokhin
122261,Khoren Bayramyan
367259,Daniil Utkin
353898,Danil Glebov
140176,Nikolay Komlichenko
346765,Roman Tugarev
82406,Dmitri Poloz
396541,Aleksandr Siljanov
337783,Rodrigão
115097,Douglas Santos
295768,Claudinho
337841,Wendel
146780,Malcom
126539,Wílmar Barrios
322162,Mateo Cassierra
29106,Dejan Lovren
364703,Nuraly Alip
42226,Aleksandr Erokhin
396285,Daniil Odoevskiy
143437,Daler Kuzyaev
379203,Andrey Mostovoy
420368,Ivan Sergeev
360818,Danil Krugovoy
342005,Arsen Adamov
19278,Mikhail Kerzhakov
411439,David Byazrov
360679,Aleksey Sutormin
296053,Zelimkhan Bakaev
245626,Glenn Bijl
364172,Ilya Gaponov
420367,Aleksandr Soldatenkov
433918,Aleksandr Kovalenko
143744,Denis Yakuba
412311,Ivan Lomaev
420366,Yuri Gorshkov
420370,Roman Ezhov
420373,Dmitri Tsypchenko
371088,Maksim Glushenkov
362589,Danil Lipovoy
428464,Vladislav Shitov
56257,Evgeni Frolov
420371,Maksim Vityugov
364278,Roman Evgenjev
404270,Dmytro Ivanisenya
370986,Bogdan Ovsyannikov
442349,Vladimir Khubulov
419969,Artem Sokolov
362566,Adolfo Gaich
371036,Jorge Carrascal
353176,Bakhtiyor Zaynutdinov
303796,Jesús Medina
10112,Igor Akinfeev
298702,Fedor Chalov
362031,Igor Diveev
38969,Kirill Nababkin
334489,Konstantin Kuchaev
384360,Maksim Mukhin
321274,Ivan Oblyakov
425490,Eduard Bagrintsev
411005,Danila Bokov
425489,Dmitri Kaptilovich
82395,Anton Zabolotny
436138,Egor Ushakov
442315,Nikita Ermakov
42012,Georgi Shchennikov
383592,Maksim Eleev
411004,Vladislav Yakovlev
381895,Vladislav Torop
442938,Matvey Lukin
291951,Milan Gajic
38498,Joãozinho
442511,Artem Meshchaninov
30465,Christian Noboa
280268,Georgi Melkadze
361696,Vanja Drkusic
321380,Denis Adamov
378911,Igor Yurganov
84625,Ibragim Tsallagov
433457,Artem Makarchuk
38176,Nikita Burmistrov
420369,Vladislav Sarveli
70685,Artur Yusupov
35892,Soslan Dzhanaev
442512,Kirill Ushatov
67736,Nikolay Zabolotny
378517,Ivan Miladinovic
285812,Victorien Angban
442510,Daniil Martovoy
120906,Sergey Terekhov
303681,Brian Mansilla
298765,Aleksandr Pavlovets
376897,Kirill Pechenin
28364,Mikhail Sivakov
346517,Yuri Kovalev
442947,Renato Gojkovic
418212,Ivan Basic
442948,Jimmy Marín
442348,Vladimir Pisarskiy
373706,Aleksey Kenyaykin
248219,Vladimir Poluyakhtov
322266,Dmitri Vorobjev
381744,Nikolay Titkov
402806,Stepan Oganesyan
344712,Kirill Kaplenko
271402,Evgeni Goshev
248222,Andrey Malykh
442347,Aleksandr Ektov
410989,Danila Khotulev
442345,Nikolay Sysuev
442946,Batraz Gurtsiev
117650,Danijel Miskic
442317,Luka Tsulukidze
252586,Eric Bicfalvi
115024,Aleksey Evseev
423425,Dmitri Landakov
438044,Ilya Bykovskiy
353950,Mingiyan Beveev
420326,Yuri Zheleznov
427263,Fanil Sungatulin
285693,Igor Konovalov
433446,Aleksandr Yushin
111793,Ilya Pomazun
140548,Aleksey Gerasimov
353948,Andrey Egorychev
407323,Ivan Kuzmichev
411097,Ramazan Gadzhimuradov
442316,Aleksey Kashtanov
90454,Roman Emeljanov
442949,Emmersón
329020,Leo Goglichidze
400822,Eduard Spertsyan
136904,Jhon Córdoba
117710,Cristian Ramírez
436116,Olakunle Olusegun
433993,Dmitri Pivovarov
425425,Irakli Manelov
434689,Vladislav Samko
395836,Stanislav Agkatsev
341315,Magomed-Shapi Suleymanov
437929,Mikhail Sukhoruchenko
437499,David Kokoev
434309,Oleg Isaenko
243757,Ilzat Akhmetov
425996,Vyacheslav Yakimov
30083,Aleksey Ionov
329019,Matvey Safonov
404601,Vyacheslav Litvinov
75477,Sergey Petrov
373494,Sergey Borodin
425426,Sergey Volkov
369860,Aleksandr Chernikov
442988,Mihajlo Banjac
399708,Maximiliano Caufriez
426517,Leon Klassen
400304,Shamar Nicholson
242261,Christopher Martins
83333,Quincy Promes
33064,Victor Moses
436045,Mikhail Volkov
347633,Nikolay Rasskazov
316122,Aleksandr Maksimenko
364173,Pavel Maslov
370985,Anton Zinkovskiy
399974,Danil Prutsev
425491,Daniil Denisov
132609,Roman Zobnin
404356,Ruslan Litvinov
330714,Aleksandr Sobolev
371087,Nail Umyarov
354069,Mikhail Ignatov
127969,Aleksandr Selikhov
285661,Georgi Dzhikiya
229181,Nikita Chernov
364066,Daniil Khlusevich
124454,Brian Idowu
345977,Alexander Lomovitskiy
375411,Aleksandr Rudenko
122318,Reziuan Mirzov
395812,Artur Cherny
243160,Ilya Lantratov
397407,Dmitri Tikhiy
129274,Aleksey Nikitin
378532,Aleksandr Dolgov
419968,Ilya Sadygov
136856,Denis Davydov
121215,Vitali Gudiev
143746,Egor Danilkin
433442,Artem Yuran
403799,Ilya Kamyshev
243786,Aleksandr Zuev
129191,Anton Mitryushkin
397409,Kirill Bozhenov
28498,Denis Glushakov
300725,Aleksandr Filin
442247,Mory Gbane
442248,Irakli Chezhia
395174,Milson
281089,Ákos Kecskés
442519,Mamadou Maiga
75843,Artur Nigmatullin
420559,Kirill Gotsuk
433445,Viktor Aleksandrov
355135,Nikita Kakkoev
271111,Dmitri Stotskiy
341272,Nikolay Kalinskiy
422934,Daniil Kornyushin
420562,Ilya Berkovskiy
129944,Vyacheslav Krotov
370983,Dmitri Rybchinskiy
395551,Konstantin Shiltsov
407620,Edgar Sevikyan
371492,Ilya Agapov
442520,David Kobesov
420561,Igor Gorbunov
420560,Artur Anisimov
420563,Daniil Penchikov
335639,Nikita Goylo
